Restaurant_id,Restaurant_name,Cuisines,Arrive_time ,Frequency_per_month,Average_Cost,Google_reviews,Google_rating
1,Tatte,Café,15,8,20,1225,4.6
2,Terra at Eataly Boston,Italian restaurant,19,1,60,175,3.8
3,Happy Lamb,Hot pot restaurant,17,5,50,756,4.5
4,Chipotle,Mexican restaurant,15,20,10,298,3.9
5,Shake Shack,Hamburger restaurant,16,15,15,208,3.8
6,Six Po Hot Pot,Chinese restaurant,24,4,60,165,4
7,Gyu-Kaku,Japanese restaurant,18,2,60,1250,4.5
8,Shinmio Tea,Bubble tea store,18,24,7,41,4.8
9,Su Su Gourmet,Chinese restaurant,18,7,30,76,3.6
10,Tora,Japanese Restaurant,16,9,44,299,4.5
